Full_Name,Age,Birthday,Gender,Barangay,Civil_Status,Educational_Attainment,Employment_Status,Monthly_Income,Number_of_Dependents,With_Minor,With_PWD,Disability_Category,Type_of_Solo_Parent,Duration_Months,Is_Pregnant,Youngest_Child_Age,Receiving_Other_Govt_Cash_Aid,Formal_PhilHealth_Member,Dependent_Currently_Studying,Below_Poverty_Line,Eligibility,Cash_Subsidy_Sec15a,VAT_Discount_Sec15b,PhilHealth_Coverage_Sec15c,Livelihood_Priority_Sec15d,Housing_Priority_Sec15e,Educational_Support_Sec9,Priority_Level,Recommendation,Remarks
Teresa Mendoza,36,04/11/1990,F,Bagumbayan,Annulled,High School,Employed,36977,0,No,No,N/A,Death of spouse,52,0,,No,Yes,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Divina Del Rosario,43,02/17/1983,F,Labuin,Separated,Vocational,Unemployed,14395,4,Yes,No,N/A,Abandonment by spouse,3,0,8,Yes,No,Yes,Yes,Not Eligible,,,,,,,N/A,,Claimed 'Abandonment by spouse' but duration is only 3 month(s); RA 11861 requires at least 6 month(s) for this category.
Dominador Fernandez,21,09/26/2004,M,Labuin,Married,Postgraduate,Unemployed,4145,5,Yes,Yes,Mental/Psychosocial,Physical or mental incapacity of spouse,51,0,1,No,No,Yes,Yes,Eligible,Yes,Yes,Yes,Yes,Yes,Yes,High,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
Danilo Pascual,38,08/21/1987,F,Calios,Married,High School,Employed,40628,5,Yes,Yes,Mental/Psychosocial,Pregnant woman solely responsible for unborn child,25,1,7,No,Yes,No,No,Eligible,No,No,Yes,No,No,No,High,PhilHealth/NHIP Coverage (Sec. 15c),
Edgardo Cruz,63,11/09/1963,M,Bagumbayan,Widow,Vocational,Unemployed,14472,0,No,No,N/A,Death of spouse,27,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Maria Cruz,34,02/09/1992,F,Duhat,Widow,High School,Part-Time,14132,2,Yes,No,N/A,Pregnant woman solely responsible for unborn child,0,0,6,No,No,Yes,Yes,Not Eligible,,,,,,,N/A,,Claimed pregnancy category but not marked pregnant.
Angelica Ocampo,33,09/28/1993,F,San Pablo Norte,Single,Elementary,Unemployed,2844,5,No,No,N/A,Relative within 4th civil degree assuming care,4,0,3,Yes,Yes,Yes,Yes,Not Eligible,,,,,,,N/A,,Claimed 'Relative within 4th civil degree assuming care' but duration is only 4 month(s); RA 11861 requires at least 6 month(s) for this category.
Jose Rivera,39,05/08/1987,M,Santisima Cruz,Widow,Postgraduate,Employed,11445,1,No,No,N/A,Birth of child due to rape,37,0,5,No,Yes,Yes,Yes,Eligible,Yes,Yes,No,No,Yes,Yes,Medium,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
Divina Villanueva,18,02/24/2008,F,San Pablo Norte,Married,Postgraduate,Unemployed,1698,4,Yes,No,N/A,Spouse/family member/guardian of an OFW,58,0,8,No,Yes,No,Yes,Eligible,Yes,No,No,Yes,Yes,No,Medium,"Cash Subsidy (Sec. 15a), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e)",
Teresa Reyes,22,12/28/2004,F,Bubukal,Widow,College,Unemployed,144,2,Yes,No,N/A,Relative within 4th civil degree assuming care,30,0,7,No,No,No,Yes,Eligible,Yes,No,Yes,Yes,Yes,No,Medium,"Cash Subsidy (Sec. 15a), PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e)",
Jocelyn Aquino,22,02/17/2003,F,San Pablo Norte,Single,College,Part-Time,13871,5,Yes,No,N/A,Legal or de facto separation,42,0,7,Yes,Yes,No,Yes,Eligible,No,No,No,Yes,Yes,No,Medium,"Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e)",
Luzviminda Gonzales,42,10/30/1983,F,Bubukal,Separated,High School,Self-Employed,26091,5,No,No,N/A,Physical or mental incapacity of spouse,12,0,9,No,No,Yes,No,Eligible,No,No,Yes,No,No,Yes,Medium,"PhilHealth/NHIP Coverage (Sec. 15c), Educational Support (Sec. 9)",
Editha Torres,51,02/22/1975,F,Bagumbayan,Separated,Elementary,Self-Employed,22593,0,No,No,N/A,Detention of spouse (3+ months) or serving sentence,40,0,,No,No,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Edgardo Cruz,56,12/17/1969,M,Patimbao,Annulled,College,Unemployed,5363,0,No,No,N/A,"Legal guardian, adoptive, or foster parent",20,0,,No,Yes,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Nestor Cruz,29,06/05/1997,M,Bagumbayan,Married,College,Employed,44980,0,No,No,N/A,Detention of spouse (3+ months) or serving sentence,46,0,,No,Yes,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Josephine Ocampo,29,03/26/1997,F,Bagumbayan,Married,Elementary,Employed,25438,3,Yes,No,N/A,"Declaration of nullity, annulment, or divorce",35,0,8,No,No,No,No,Eligible,No,No,Yes,No,No,No,Low,PhilHealth/NHIP Coverage (Sec. 15c),
Divina Gonzales,27,03/16/1998,F,Alipit,Married,Vocational,Employed,41255,1,Yes,No,N/A,Physical or mental incapacity of spouse,15,1,6,Yes,Yes,No,No,Eligible,No,No,Yes,No,No,No,Medium,PhilHealth/NHIP Coverage (Sec. 15c),
Ferdinand Rivera,55,01/07/1970,M,San Pablo Sur,Widow,Postgraduate,Self-Employed,35476,4,No,No,N/A,Death of spouse,43,0,3,No,Yes,No,No,Eligible,No,No,Yes,No,No,No,Low,PhilHealth/NHIP Coverage (Sec. 15c),
Ana Aquino,52,03/05/1974,F,Labuin,Married,College,Employed,43715,0,No,No,N/A,Detention of spouse (3+ months) or serving sentence,17,0,,No,Yes,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Edgardo Dela Cruz,36,11/07/1989,F,San Juan,Widow,High School,Self-Employed,25004,0,No,No,N/A,Death of spouse,33,0,,No,No,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Analyn Salazar,50,01/22/1976,F,Calios,Single,High School,Employed,22592,0,No,No,N/A,Detention of spouse (3+ months) or serving sentence,8,0,,No,Yes,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Reynaldo Santos,27,08/18/1999,M,Patimbao,Annulled,Postgraduate,Unemployed,13879,4,No,No,N/A,Legal or de facto separation,5,0,1,Yes,Yes,No,Yes,Not Eligible,,,,,,,N/A,,Claimed 'Legal or de facto separation' but duration is only 5 month(s); RA 11861 requires at least 6 month(s) for this category.
Bernardo Salazar,32,08/12/1994,M,Calios,Married,College,Self-Employed,36818,1,Yes,No,N/A,Relative within 4th civil degree assuming care,38,0,3,No,Yes,Yes,No,Eligible,No,No,No,No,No,Yes,Low,Educational Support (Sec. 9),
Arnel Salazar,35,05/29/1991,M,Duhat,Widow,High School,Unemployed,5277,0,No,Yes,Sensory (Visual/Hearing),Birth of child due to rape,16,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Maria Castillo,43,12/22/1982,F,San Pablo Sur,Separated,Elementary,Part-Time,16928,2,No,No,N/A,Detention of spouse (3+ months) or serving sentence,44,0,5,No,No,Yes,No,Eligible,No,Yes,Yes,Yes,No,Yes,Medium,"VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Educational Support (Sec. 9)",
Dominador Torres,60,10/09/1965,M,Santisima Cruz,Married,Vocational,Unemployed,9415,3,Yes,No,N/A,"Legal guardian, adoptive, or foster parent",52,0,4,Yes,Yes,No,Yes,Eligible,No,Yes,No,Yes,Yes,No,Medium,"VAT Discount/Exemption (Sec. 15b), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e)",
Analyn Reyes,68,01/17/1957,F,Alipit,Annulled,College,Part-Time,13649,0,No,No,N/A,Relative within 4th civil degree assuming care,11,0,,No,Yes,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Noel Garcia,62,08/14/1964,M,San Pablo Norte,Widow,Postgraduate,Part-Time,11070,4,No,No,N/A,Birth of child due to rape,23,0,5,No,No,Yes,Yes,Eligible,Yes,Yes,Yes,Yes,Yes,Yes,High,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
Vicente Bautista,50,07/27/1976,M,Santisima Cruz,Single,Elementary,Unemployed,13162,5,Yes,No,N/A,Birth of child due to rape,44,0,4,No,Yes,No,Yes,Eligible,Yes,Yes,No,Yes,Yes,No,Medium,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e)",
Efren Ramos,18,08/20/2008,F,Duhat,Separated,High School,Self-Employed,4366,1,No,No,N/A,Pregnant woman solely responsible for unborn child,0,0,3,No,No,Yes,Yes,Not Eligible,,,,,,,N/A,,Claimed pregnancy category but not marked pregnant.
Bernardo Bautista,18,03/22/2007,M,Bagumbayan,Separated,College,Self-Employed,15586,0,No,No,N/A,Death of spouse,2,0,,No,Yes,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Jose Del Rosario,33,12/11/1992,M,San Juan,Married,Elementary,Part-Time,12948,5,Yes,Yes,Mental/Psychosocial,"Declaration of nullity, annulment, or divorce",58,0,5,No,Yes,Yes,Yes,Eligible,Yes,Yes,No,Yes,Yes,Yes,High,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
Gilbert Flores,51,12/04/1974,M,San Pablo Norte,Single,College,Employed,32741,5,No,No,N/A,Relative within 4th civil degree assuming care,5,0,0,No,No,Yes,No,Not Eligible,,,,,,,N/A,,Claimed 'Relative within 4th civil degree assuming care' but duration is only 5 month(s); RA 11861 requires at least 6 month(s) for this category.
Vicente Pascual,64,12/06/1962,M,Bubukal,Single,Elementary,Employed,34106,0,No,No,N/A,Death of spouse,20,0,,No,Yes,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Analyn Rivera,26,12/24/2000,F,Labuin,Separated,Elementary,Unemployed,4516,5,No,No,N/A,Legal or de facto separation,29,0,3,No,Yes,No,Yes,Eligible,Yes,Yes,No,Yes,Yes,No,Medium,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e)",
Jose Rivera,21,02/03/2004,M,Calios,Single,Postgraduate,Unemployed,12042,0,No,No,N/A,Birth of child due to rape,8,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Christian Salazar,34,12/07/1992,M,San Pablo Norte,Single,Elementary,Part-Time,10683,0,No,No,N/A,"Legal guardian, adoptive, or foster parent",55,0,,No,Yes,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Arnel Castillo,36,03/29/1989,M,Santisima Cruz,Married,Vocational,Self-Employed,22040,3,Yes,No,N/A,Legal or de facto separation,2,0,6,Yes,No,Yes,No,Not Eligible,,,,,,,N/A,,Claimed 'Legal or de facto separation' but duration is only 2 month(s); RA 11861 requires at least 6 month(s) for this category.
Jose Fernandez,45,11/16/1981,M,Patimbao,Married,Elementary,Self-Employed,12370,4,No,No,N/A,Legal or de facto separation,20,0,1,No,No,No,Yes,Eligible,Yes,Yes,Yes,No,Yes,No,Medium,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Housing Priority (Sec. 15e)",
Leonora Reyes,49,05/10/1976,F,Calios,Single,Vocational,Part-Time,14699,4,No,No,N/A,Relative within 4th civil degree assuming care,4,0,2,No,Yes,Yes,Yes,Not Eligible,,,,,,,N/A,,Claimed 'Relative within 4th civil degree assuming care' but duration is only 4 month(s); RA 11861 requires at least 6 month(s) for this category.
Nestor Cruz,48,10/08/1978,M,Labuin,Married,High School,Self-Employed,12750,0,No,No,N/A,Detention of spouse (3+ months) or serving sentence,13,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Efren Del Rosario,20,10/30/2006,M,Labuin,Single,Elementary,Self-Employed,14899,0,No,Yes,Intellectual/Developmental,Physical or mental incapacity of spouse,4,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Carlito Santos,67,01/24/1958,M,Duhat,Annulled,Vocational,Part-Time,4169,0,No,No,N/A,Unmarried parent who keeps and rears the child,31,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Ronald Cruz,32,08/29/1993,M,Bagumbayan,Widow,College,Employed,33469,1,Yes,No,N/A,Unmarried parent who keeps and rears the child,52,0,8,No,Yes,No,No,Eligible,No,No,Yes,No,No,No,Low,PhilHealth/NHIP Coverage (Sec. 15c),
Rowena Dela Cruz,39,04/18/1987,F,San Pablo Sur,Single,College,Part-Time,9699,2,Yes,Yes,Physical,"Declaration of nullity, annulment, or divorce",28,0,9,No,No,No,Yes,Eligible,Yes,No,Yes,Yes,Yes,No,High,"Cash Subsidy (Sec. 15a), PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e)",
Efren Fernandez,18,07/03/2007,M,Santisima Cruz,Married,Elementary,Employed,25527,5,Yes,No,N/A,"Legal guardian, adoptive, or foster parent",20,0,6,No,Yes,Yes,No,Eligible,No,No,No,No,No,Yes,Low,Educational Support (Sec. 9),
Leonora Torres,56,09/12/1969,F,Duhat,Married,College,Employed,42834,1,No,No,N/A,Birth of child due to rape,58,0,0,No,Yes,Yes,No,Eligible,No,No,No,No,No,Yes,Low,Educational Support (Sec. 9),
Ferdinand Ocampo,38,07/20/1988,M,Alipit,Single,Postgraduate,Self-Employed,7720,0,No,No,N/A,Death of spouse,35,0,,No,Yes,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Teresa Cruz,53,07/01/1973,F,Duhat,Married,Elementary,Part-Time,16976,0,No,Yes,Mental/Psychosocial,Pregnant woman solely responsible for unborn child,0,0,,No,No,No,No,Not Eligible,,,,,,,N/A,,Claimed pregnancy category but not marked pregnant.
Ramon Ramos,53,12/31/1972,M,Patimbao,Separated,College,Employed,39028,4,Yes,No,N/A,Physical or mental incapacity of spouse,12,0,7,Yes,Yes,No,No,Eligible,No,No,Yes,No,No,No,Low,PhilHealth/NHIP Coverage (Sec. 15c),
Mark Santos,19,05/02/2007,M,San Pablo Sur,Separated,Vocational,Unemployed,13349,2,No,Yes,Mental/Psychosocial,Spouse/family member/guardian of an OFW,12,0,4,No,No,No,Yes,Eligible,Yes,Yes,Yes,Yes,Yes,No,High,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e)",
Angelica Castillo,52,06/25/1974,F,San Pablo Norte,Separated,Postgraduate,Self-Employed,3306,4,No,No,N/A,Physical or mental incapacity of spouse,59,0,5,No,Yes,No,Yes,Eligible,Yes,Yes,No,No,Yes,No,Medium,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), Housing Priority (Sec. 15e)",
Cecilia Del Rosario,33,11/27/1992,F,San Pablo Norte,Separated,Postgraduate,Part-Time,17392,0,No,No,N/A,Birth of child due to rape,40,0,,No,Yes,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Leonora Flores,39,06/05/1987,F,Bagumbayan,Single,Postgraduate,Part-Time,19040,5,Yes,No,N/A,Physical or mental incapacity of spouse,16,1,2,No,No,Yes,No,Eligible,No,Yes,Yes,Yes,No,Yes,High,"VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Educational Support (Sec. 9)",
Teresa Cruz,35,12/06/1990,F,Bagumbayan,Single,College,Unemployed,6947,5,Yes,No,N/A,Physical or mental incapacity of spouse,7,0,4,No,Yes,No,Yes,Eligible,Yes,Yes,No,Yes,Yes,No,Medium,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e)",
Maria Gonzales,36,12/07/1990,F,Bagumbayan,Married,Elementary,Unemployed,3064,0,No,No,N/A,Pregnant woman solely responsible for unborn child,0,0,,No,No,No,Yes,Not Eligible,,,,,,,N/A,,Claimed pregnancy category but not marked pregnant.
Danilo Castillo,50,09/24/1975,M,Santisima Cruz,Single,Elementary,Self-Employed,15578,2,No,No,N/A,Abandonment by spouse,30,0,8,No,No,No,No,Eligible,Yes,No,Yes,No,No,No,Medium,"Cash Subsidy (Sec. 15a), PhilHealth/NHIP Coverage (Sec. 15c)",
Grace Salazar,23,11/22/2002,F,Alipit,Annulled,Postgraduate,Part-Time,13196,2,Yes,No,N/A,Unmarried parent who keeps and rears the child,23,0,8,No,Yes,Yes,Yes,Eligible,Yes,No,No,Yes,Yes,Yes,Medium,"Cash Subsidy (Sec. 15a), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
Angelica Pascual,67,07/10/1958,F,Alipit,Separated,Postgraduate,Unemployed,5448,0,No,No,N/A,Physical or mental incapacity of spouse,18,0,,No,Yes,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Maria Mendoza,52,12/29/1973,F,Bubukal,Separated,High School,Employed,27145,4,Yes,No,N/A,"Declaration of nullity, annulment, or divorce",26,0,3,Yes,Yes,Yes,No,Eligible,No,No,No,No,No,Yes,Low,Educational Support (Sec. 9),
Arnel Bautista,49,03/14/1977,M,San Juan,Annulled,Postgraduate,Self-Employed,36266,1,Yes,No,N/A,Abandonment by spouse,11,0,2,Yes,Yes,Yes,No,Eligible,No,No,No,No,No,Yes,Low,Educational Support (Sec. 9),
Carlito Torres,45,07/11/1980,M,Bagumbayan,Widow,College,Employed,25966,5,No,Yes,Physical,"Declaration of nullity, annulment, or divorce",33,0,1,No,Yes,Yes,No,Eligible,No,No,No,No,No,Yes,Medium,Educational Support (Sec. 9),
Luzviminda Mendoza,24,03/31/2001,F,Labuin,Single,Postgraduate,Self-Employed,15022,0,No,No,N/A,Relative within 4th civil degree assuming care,47,0,,No,Yes,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Teresa Castillo,66,08/28/1959,F,Bubukal,Single,College,Unemployed,12943,2,No,No,N/A,Abandonment by spouse,15,0,4,No,No,Yes,Yes,Eligible,Yes,Yes,Yes,Yes,Yes,Yes,High,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
Editha Garcia,38,09/02/1988,F,San Juan,Annulled,Elementary,Unemployed,12335,4,Yes,Yes,Intellectual/Developmental,Detention of spouse (3+ months) or serving sentence,38,0,2,No,No,No,Yes,Eligible,Yes,Yes,Yes,Yes,Yes,No,High,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), PhilHealth/NHIP Coverage (Sec. 15c), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e)",
Divina Rivera,62,05/26/1963,F,San Juan,Single,High School,Self-Employed,19630,0,No,No,N/A,Abandonment by spouse,31,0,,No,Yes,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Roberto Pascual,33,07/12/1993,M,San Pablo Norte,Married,Postgraduate,Unemployed,5455,0,No,No,N/A,Abandonment by spouse,39,0,,No,Yes,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Efren Pascual,48,11/06/1978,M,San Pablo Sur,Widow,College,Self-Employed,20528,0,No,No,N/A,Unmarried parent who keeps and rears the child,7,0,,No,No,No,No,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Ferdinand Bautista,22,03/30/2003,M,Bubukal,Annulled,Vocational,Employed,8108,0,No,No,N/A,"Declaration of nullity, annulment, or divorce",47,0,,Yes,Yes,No,Yes,Not Eligible,,,,,,,N/A,,No qualifying dependent child under the applicant's care; RA 11861 requires sole parental care and support of a child.
Cristina Ocampo,54,04/16/1972,F,Alipit,Annulled,Elementary,Unemployed,4979,1,Yes,Yes,Sensory (Visual/Hearing),Relative within 4th civil degree assuming care,15,0,0,No,Yes,No,Yes,Eligible,Yes,Yes,No,Yes,Yes,No,High,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e)",
Mark Mendoza,23,02/12/2003,M,Labuin,Married,College,Part-Time,14163,4,Yes,No,N/A,Abandonment by spouse,4,0,8,No,Yes,No,Yes,Not Eligible,,,,,,,N/A,,Claimed 'Abandonment by spouse' but duration is only 4 month(s); RA 11861 requires at least 6 month(s) for this category.
Dominador Gonzales,67,11/03/1958,M,Santisima Cruz,Single,Elementary,Unemployed,7201,4,No,No,N/A,Physical or mental incapacity of spouse,14,0,1,No,Yes,No,Yes,Eligible,Yes,Yes,No,Yes,Yes,No,Medium,"Cash Subsidy (Sec. 15a), VAT Discount/Exemption (Sec. 15b), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e)",
Bernardo Santos,56,08/08/1969,M,Santisima Cruz,Single,College,Part-Time,3336,3,Yes,Yes,Physical,Birth of child due to rape,36,0,1,Yes,Yes,Yes,Yes,Eligible,No,Yes,No,Yes,Yes,Yes,High,"VAT Discount/Exemption (Sec. 15b), Livelihood/Employment Priority (Sec. 15d), Housing Priority (Sec. 15e), Educational Support (Sec. 9)",
